product_name,price,title,reviewer,date,description
Paulo Vici Softshell Jas - Tussenjas heren - Winterjas heren - 5 laags - Zwart,"49
  95",Heerlijke warme jas!,Levydavid,31 oktober 2022,De jas is heerlijk warm
Paulo Vici Softshell Jas - Tussenjas heren - Winterjas heren - 5 laags - Zwart,"49
  95",Best oke,BBri,3 november 2022,Fijne winddichte jas. Capuchon is een beetje erg aan de grote kant. En een klein buitje ken I hebben maar bij een stevige regenbui lekt I toch door.
Paulo Vici Softshell Jas - Tussenjas heren - Winterjas heren - 5 laags - Zwart,"49
  95",Geweldige jas!,Ingmarrooijen,3 maart 2023,Uitstekende pasvorm en nog betere kwaliteit!
Paulo Vici Softshell Jas - Tussenjas heren - Winterjas heren - 5 laags - Zwart,"49
  95",Warm en uitstekende pasvorm,SjaakdeVries112,21 februari 2023,"Buiten dat de jas heel warm is, is de pasvorm ook nog eens uitstekend!"
Paulo Vici Softshell Jas - Tussenjas heren - Winterjas heren - 5 laags - Zwart,"49
  95",Goed,Marcin19,30 december 2022,Voor dat prijs is goede Jas. Winddicht. Maar iets te dun vind ik zelf. Als het vrieskoud dan is niet echt warm. Toch een 4 sterren. Voor de kwaliteit en winddicht.
Columbia Pouring Adventure Regenjas Heren Waterdicht - Outdoorjas met Capuchon - Ademend - Jassen Heren Winter - Blauw - Maat M,"71
  95",Goede kwaliteit regenjas,Robert1707,12 november 2020,Prima prijs kwaliteit verhouding. Erg tevreden over deze jas
Columbia Pouring Adventure Regenjas Heren Waterdicht - Outdoorjas met Capuchon - Ademend - Jassen Heren Winter - Blauw - Maat M,"71
  95",Voldoet aan verwachtingen!,Noemhetmaarjan,26 oktober 2022,"Licht, comfortabel en kan tegen een spatje!"
Columbia Pouring Adventure Regenjas Heren Waterdicht - Outdoorjas met Capuchon - Ademend - Jassen Heren Winter - Blauw - Maat M,"71
  95",Mooie jas,Milana1974,30 juni 2021,"Mooi design, veel zakken en diepe zakken. Waterdicht."
Columbia Pouring Adventure Regenjas Heren Waterdicht - Outdoorjas met Capuchon - Ademend - Jassen Heren Winter - Blauw - Maat M,"71
  95",Fiets regenjas voor als het niet te koud is,Scanner,12 september 2019,"Goede regenjas voor op de fiets hij is wel dun voor de warmte moet je deze niet kopen, voor als het wat regent onderweg is deze perfect, ik het wel een linkse ritssluiting denk dat ze zo zijn maar is even wennen"
MGO Otto heren winterjas - Puffer jack met teddy voering - Mosgroen - Maat XL,"159
  99",Top klantenservice,JdeRooij1,21 maart 2023,"Naar aanleiding van mijn bestelling contact opgenomen met de klantenservice. Ik werd spoedig en vriendelijk te woord gestaan. Toen er een foutje in de jas bleek te zitten hebben zij goed met mij meegedacht en een passende oplossing geboden. Kortom, top klantenservice!!"
MGO Otto heren winterjas - Puffer jack met teddy voering - Mosgroen - Maat XL,"159
  99","Past goed, maar niet echt warm.",StevenXX,28 februari 2023,"Ik zocht een warme winterjas voor de echt koude winterdagen. Deze jas leek daaraan te voldoen, maar ondanks de teddy voering valt dat nogal tegen. De voering is te dun en isoleert matig. Meer een jas voor het vroege voorjaar of het late najaar. Of voor zachte winterdagen. De pasvorm is overigens prima en de jas ziet er verder goed uit."
ONLY & SONS ONSLOUIS TEDDY BLUE 2971 JACKET Heren Jas - Maat XL,"35
  -",Leuk spijkerjack,Eiralen,23 maart 2023,leuk jack .. makkelijk te dragen .. mooi voor het tussen seizoen
ONLY & SONS ONSLOUIS TEDDY BLUE 2971 JACKET Heren Jas - Maat XL,"35
  -",Tof jack,Ronnietherunner,19 maart 2023,"Tof Jack, goede pasvorm en hoge kwaliteit."
ONLY & SONS ONSLOUIS TEDDY BLUE 2971 JACKET Heren Jas - Maat XL,"35
  -",Lekker warm en stijlvol,dvdvelde666,25 januari 2023,Prima jacket om zowel binnen als buiten te dragen.Ik vind hem warm genoeg voor buiten in de winter met een trui er onder. Verder voelt de jack kwalitatief en stevig aan.
Ellesse Berto 2 Jas Mannen - Maat M,"59
  95",Zeer goed,Sabine14563825,29 december 2020,"Maat valt zoals verwacht, dat is wat ik er goed aan vind."
Petrol Industries - Heren Lichtgewicht jas - Blauw - L,"45
  -",fantastisch,Scany,12 november 2022,lekker warm is niet zwaar om te dragen.
Petrol Industries - Heren Klassieke jas  - Blauw - Maat XXXL,"85
  -",Stijlvol,NK1234,20 december 2022,"Mooie, warme jas. Stijlvol klassiek en toch ook jeugdig. Goed op maat."
Cars Jeans  BERGAMO Poly Heren Jas - Maat M,"50
  -",Jas is na 2 weken al gescheurd.,DiazBol,4 april 2023,Jas is na 2 weken al gescheurd.
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat L,"66
  99",lekker jasje,lawhfdkdv,24 mei 2022,staat netjes
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Zwart - Zwart - Maat L,"66
  99",Perfect  artikel,Weol,2 april 2023,AanraderMooie jas goede pasvorm
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Grijs - Grijs - Maat XL,"66
  99",lekker jasje,lawhfdkdv,24 mei 2022,staat netjes
Cappuccino Italia - Heren Jas zomer Navy Seal Jacket Grijs - Grijs - Maat XL,"66
  99",Perfect  artikel,Weol,2 april 2023,AanraderMooie jas goede pasvorm
JACK&JONES JJERUSH HOOD BOMBER NOOS Heren Bomberjack - Maat L,"41
  45",niet waterdicht,stirF,26 juni 2022,waardeloze jas. Bij de rits zo lek als een mandje.
JACK&JONES JJERUSH HOOD BOMBER NOOS Heren Bomberjack - Maat L,"41
  45",Mooie jas valt net te klein,Fetkilic,17 maart 2022,Mooie jas. Valt helaas wel net te klein of eigenlijk te strak. Ben bang dat een maatje groter dan weer te groot is.
JACK&JONES JCOOTTO PUFFER SN Heren Jas - Maat M,"43
  44",Goede kwaliteit en precies zoals omschrijving. Erg warm ook.,Fxvdl,19 januari 2023,"Maand oud, dagelijks aan. Erg warm en redelijk water resistant."
JACK&JONES JCOOTTO PUFFER SN Heren Jas - Maat M,"43
  44",Rits snel kapot,SvenJ96,17 januari 2023,"Fijne jas, valt een maat groter. Na 4 keer aan te hebben gehad ritssluiting al kapot."
Regenjas WIT (Maat XL) unisex - licht gewicht - opvouwbaar - pocket size - reizen - dames - heren regenjas,"12
  95",Gekocht maar nooit ingeleverd.,Nasserfard,21 januari 2023,slecht.
JACK&JONES JJERUSH BOMBER NOOS Heren Jas - Maat XL,"39
  99",Al oke product is op tijd bezorgt,Rudybrugge,29 maart 2023,prachtige vest prijs kwaliteit
JACK&JONES JJERUSH BOMBER NOOS Heren Jas - Maat XL,"39
  99",Mooie voorjaars jas,Kerst05,20 april 2021,Goede qualiteit voor een scherpe prijs
JACK&JONES JJERUSH BOMBER NOOS Heren Jas - Maat XL,"39
  99",Prima voor deze prijs,Reubs,19 mei 2020,Maat valt goed. Prima zomerjas voor dit geld.
JACK&JONES JJERUSH BOMBER NOOS Heren Jas - Maat XL,"39
  99","Review, het is een goede jas voor weer en wind van mooi materiaal, And",Pietprecies143,22 april 2020,"Het is een goede jas, ook voor in de regen. Had het aleen een ándere benaming gegeven omdat het niet echt een Bomberjack is!"
